file_name,n_samples,total_successes,success_rate,first_success_k,best_cell_accuracy,mean_cell_accuracy
66e6c45b,120.0,109.0,0.9083333333333333,1.0,100.0,96.04166666666667
00576224,120.0,86.0,0.7166666666666667,1.0,100.0,79.21296296296296
1a2e2828,120.0,45.0,0.375,6.0,100.0,37.5
c7d4e6ad,120.0,23.0,0.19166666666666668,1.0,100.0,48.1
bf699163,120.0,6.0,0.05,10.0,100.0,16.310032560032557
358ba94e,120.0,5.0,0.041666666666666664,6.0,100.0,22.291262469900243
3194b014,120.0,4.0,0.03333333333333333,5.0,100.0,3.8888888888888884
770cc55f,120.0,3.0,0.025,4.0,100.0,70.7178515928516
3979b1a8,120.0,2.0,0.016666666666666666,46.0,100.0,26.591666666666665
7ee1c6ea,120.0,1.0,0.008333333333333333,101.0,100.0,25.466666666666665
ae58858e,120.0,1.0,0.008333333333333333,111.0,100.0,67.97019675925927
e95e3d8e,120.0,0.0,0.0,,97.72727272727272,13.815283516988064
55059096,120.0,0.0,0.0,,96.83257918552036,23.572797708827125
f3cdc58f,120.0,0.0,0.0,,96.0,16.083333333333332
e7639916,120.0,0.0,0.0,,95.6043956043956,16.664835164835164
963f59bc,120.0,0.0,0.0,,94.64285714285714,29.945126488095237
d37a1ef5,120.0,0.0,0.0,,93.5897435897436,19.893162393162388
c35c1b4c,120.0,0.0,0.0,,93.0,26.308333333333334
55783887,120.0,0.0,0.0,,91.77631578947368,13.381789385078859
1da012fc,120.0,0.0,0.0,,91.57894736842104,29.11356725146199
e9ac8c9e,120.0,0.0,0.0,,91.11111111111111,14.184722222222227
0607ce86,120.0,0.0,0.0,,90.15151515151516,5.550820707070707
03560426,120.0,0.0,0.0,,88.0,65.29166666666667
09c534e7,120.0,0.0,0.0,,84.66666666666667,13.169487570199147
aee291af,120.0,0.0,0.0,,84.0,58.129629629629626
e0fb7511,120.0,0.0,0.0,,83.4319526627219,17.455621301775146
310f3251,120.0,0.0,0.0,,83.33333333333334,18.518121693121696
1c0d0a4b,120.0,0.0,0.0,,82.84023668639054,17.642998027613416
ef26cbf6,120.0,0.0,0.0,,81.81818181818183,30.23907910271547
692cd3b6,120.0,0.0,0.0,,81.33333333333333,8.767824074074076
a04b2602,120.0,0.0,0.0,,75.69444444444444,10.795154886215618
85fa5666,120.0,0.0,0.0,,75.0,26.428755144032923
a680ac02,120.0,0.0,0.0,,75.0,30.897289827811285
4b6b68e5,120.0,0.0,0.0,,74.83974358974359,12.423588852320622
b9630600,120.0,0.0,0.0,,67.92792792792793,1.2160660660660665
e9c9d9a1,120.0,0.0,0.0,,67.11111111111111,2.3697530864197534
762cd429,120.0,0.0,0.0,,64.58333333333334,6.085356039290389
93c31fbe,120.0,0.0,0.0,,64.56043956043956,0.6742216117216119
0a1d4ef5,120.0,0.0,0.0,,22.41379310344828,5.118295019157086
e1d2900e,120.0,0.0,0.0,,12.444444444444445,0.21296296296296297
